tradingsymbol,instrument_token,avg_volume
RCF,733697,1146824
HITECH,734209,1324467
RELIANCE,738561,10284727
RICOAUTO,744705,1966728
RIIL,745473,89099
RUBYMILLS,752385,9238
S&SPOWER,755457,2678
KALYANKJIL,756481,3434008
SAIL,758529,9830379
SAKHTISUG,760065,117098
SURYODAY,760321,132807
ORIENTELEC,760833,206028
NAZARA,764673,1629675
SANDESH,764929,845
SANGHIIND,767233,159267
WONDERLA,768513,44763
KOHINOOR,770305,59828
SAURASHCEM,772609,62908
SOTL,773377,18030
SDL26BEES,773633,25476
JINDALSAW,774145,1358289
SBIN,779521,7822230
SCI,780289,1621266
VEDL,784129,7832775
SESHAPAPER,784897,16793
SHANTIGEAR,787969,53516
INDOSTAR,790529,150492
SHREDIGCEM,793345,376602
SHREECEM,794369,25759
SHREYANIND,800257,7651
BARBEQUE,800513,83734
TRANSWORLD,801025,11368
HONDAPOWER,803329,4353
BORORENEW,806145,675971
SIEMENS,806401,306616
SIMPLEXINF,809473,105538
GILT5YBEES,812033,205289
SKFINDIA,815617,33652
LODHA,824321,1445844
JTEKTINDIA,828673,226036
NITIRAJ,831233,3469
SPIC,832513,875875
SRF,837889,419501
TEMBO,838401,60786
STARPAPER,842497,9316
DEEPINDS,842753,176228
MODISONLTD,848897,46091
SPMLINFRA,850177,205223
SUBROS,850945,119996
SUDARSCHEM,851713,114596
ISGEC,852225,28744
SUNDARMFIN,854785,52047
SUNDRMFAST,856321,103128
SUNFLAG,857089,158940
SUNPHARMA,857857,1950544
SUPERSPIN,859393,30948
SUPREMEIND,860929,194003
SURYAROSNI,864001,463340
SWARAJENG,866305,14602
SMLISUZU,867073,61547
AGARIND,867585,18001
TAINWALCHM,869377,3464
AJOONI,871169,380488
TATACHEM,871681,582661
TATAELXSI,873217,140748
HONAUT,874753,3545
TATAPOWER,877057,4514451
TATACONSUM,878593,1139144
BBOX,879361,124047
TATAMOTORS,884737,10206547
TFCILTD,887297,5550827
THERMAX,889601,95870
THOMASCOOK,891137,879121
CLSEL,891393,67883
TIL,891905,20302
TIRUMALCHM,894977,262972
TATASTEEL,895745,21891843
TITAN,897537,671188
MAFANG,897793,257991
TORNTPHARM,900609,286432
TTKPRESTIG,907777,67222
ADANIGREEN,912129,1527657
UCAL,913921,13717
UNICHEMLAB,916225,22407
MOKSH,918017,317263
UNIVCABLES,923393,48373
JUBLPHARMA,931073,179741
VARDMNPOLY,933377,394560
SOLARA,940033,130091
VESUVIUS,941057,78841
VINDHYATEL,945665,7735
VIPIND,947969,245973
VLSFINANCE,951041,22560
VOLTAS,951809,1039034
TATACOMM,952577,451485
VSTIND,953345,217081
ANMOL,954113,52202
WALCHANNAG,956417,115596
FINEORG,958465,13088
WEIZMANIND,959489,2598
VENKEYS,961793,37482
RITES,962817,581653
WHEELS,964097,28483
WILLAMAGOR,965633,8545
WIPRO,969473,8034469
WSTCSTPAPR,972545,74232
ZEEL,975873,7048833
ARIHANTCAP,976129,888901
ZODIACLOTH,978177,7237
ZUARIIND,979713,332587
BHARATRAS,981505,3875
TOKYOPLAST,982273,13584
VARROC,987393,197222
SOMANYCERA,993281,19726
HATSUN,996353,80475
CAPLIPOINT,999937,60390
PREMIERPOL,1000449,47084
KHAITANLTD,1001473,3856
NATCOPHARM,1003009,537687
GOCLCORP,1014529,45697
REMSONSIND,1015041,186492
PARASPETRO,1016833,152268
TNPL,1018881,327110
GREENPLY,1020673,86792
CORALFINAC,1025793,32116
NAVA,1027585,354186
AUSOMENT,1033473,4501
EIMCOELECO,1034241,12510
JAYAGROGN,1034497,8388
PANACEABIO,1038081,145602
MARICO,1041153,1559343
SILINV,1050881,2998
SAMBHAAV,1056513,96486
REGENCERAM,1057281,4814
BIOFILCHEM,1058817,7588
KEYFINSERV,1064193,2748
ZENITHEXPO,1069057,358
SUNDRMBRAK,1069825,2080
SANGAMIND,1071105,33386
MOTHERSON,1076225,16276649
WENDT,1084161,8251
HDFCAMC,1086465,391036
DENORA,1095425,3986
STERTOOLS,1100545,87307
SHRIRAMFIN,1102337,6255594
PUNJABCHEM,1112065,24249
GULFOILLUB,1124097,41168
MIRZAINT,1124865,379009
JAGSNPHARM,1128961,67005
CREDITACC,1131777,432729
INDIANCARD,1132033,4966
ELECTHERM,1144065,24574
AARTIDRUGS,1147137,225087
ALKYLAMINE,1148673,29759
JCHAC,1149697,18238
MPHASIS,1152769,408454
SIGIND,1157633,9377
DYNAMATECH,1158401,6250
GUJRAFFIA,1164289,0
RUCHINFRA,1168897,68882
ATLASCYCLE,1169409,5157
RAMCOIND,1174273,180118
KOTHARIPET,1176065,49148
HERITGFOOD,1177089,255496
SBCL,1191937,105025
BANKBARODA,1195009,6806199
SONACOMS,1199105,2629984
SHYAMMETL,1201409,223534
GAIL,1207553,8871861
BANKINDIA,1214721,5771713
INDNIPPON,1215233,50943
CONCOR,1215745,1183263
INDRAMEDCO,1216257,231107
DCMFINSERV,1222401,12969
KCPSUGIND,1231105,90190
DODLA,1234433,57264
SNOWMAN,1239809,280556
KIMS,1240833,355229
SAREGAMA,1252353,280184
FDC,1253889,88511
ENGINERSIN,1256193,1968475
MADRASFERT,1257217,113850
HINDCON,1259521,22675
IPL,1263105,225648
ADROITINFO,1267969,37166
GANGAFORGE,1268993,313268
ICICIBANK,1270529,8093569
PHARMABEES,1273089,3842474
IRCON,1276417,2500431
SHARDACROP,1277953,360905
SVPGLOB,1285121,94759
CLEAN,1292545,330502
GRINFRA,1293825,23559
SHEMAROO,1297409,10741
ETERNAL,1304833,31665973
KPIGREEN,1307649,664076
SGIL,1309185,23036
CIGNITITEC,1316353,66373
JAICORPLTD,1316609,3549847
TATVA,1321473,185386
STYLAMIND,1327617,53550
ANTGRAPHIC,1329665,203421
GMDCLTD,1332225,4116279
BFSI,1336321,263522
MAHAPEXLTD,1341185,5445
INDUSINDBK,1346049,3567205
PDSL,1347585,121942
ALIVUS,1347841,77416
ROLEXRINGS,1351425,29551
PRITIKAUTO,1354753,140872
UGROCAP,1360129,308467
EXXARO,1370113,0
KRSNAA,1371905,57427
WINDLAS,1373697,43809
DEVYANI,1375489,2235222
ASAHIINDIA,1376769,216318
EPIGRAL,1377793,25426
AAVAS,1378561,161180
MOL,1380865,450778
NGIL,1382657,75377
CARTRADE,1384193,529761
NUVOCO,1389057,234603
TRIGYN,1389569,0
APTUS,1391361,1423595
CHEMPLASTS,1394945,85644
GRSE,1401601,1117482
YUKEN,1408257,4864
SERVOTECH,1409793,615125
JAIPURKURT,1412097,15388
KOTHARIPRO,1415169,73382
ACUTAAS,1427969,334716
VIJAYA,1429761,96072
INTLCONV,1435137,130178
ASTRAZEN,1436161,12854
GANESHBE,1437185,73963
CEMPRO,1439233,385238
J&KBANK,1442049,1766003
SHANTI,1446401,83670
CUB,1459457,1841122
CYIENT,1471489,405870
SANSERA,1472257,87370
MASPTOP50,1480193,262699
BANKNIFTY1,1497857,61822
LAGNAM,1501441,11775
AXISBANK,1510401,6432717
PARAS,1513217,624523
INTELLECT,1517057,462947
MONTECARLO,1520129,28575
SOUTHBANK,1522689,7088111
COASTCORP,1537537,120772
ABSLAMC,1540609,290373
PASUPTAC,1547521,65299
CYBERTECH,1549057,0
ATGL,1552897,582982
AIROLAM,1553409,5704
GOODLUCK,1568001,227945
PANSARI,1572097,1094
BHAGCHEM,1577985,45293
FCL,1586689,240450
