tradingsymbol,instrument_token,avg_volume
SAILIFE,7126785,402863
VMM,7160065,7767685
MOBIKWIK,7179777,2408849
IKS,7200001,274413
ANUHPHR,7248385,70945
IGIL,7264769,851524
DAMCAPITAL,7337473,514566
MAMATA,7343873,225044
TRANSRAILL,7350785,867585
CEWATER,7363585,21120
SANATHAN,7374081,37115
VENTIVE,7384833,94382
PROZONER,7387905,0
CARRARO,7393025,141320
SENORES,7395329,334309
KITEX,7398145,1090373
MAYURUNIQ,7399937,48950
ROSSELLIND,7401729,26088
DUCON,7411713,394980
UNIMECH,7413761,47244
CONSUMER,7416065,233317
TVSHLTD,7426049,8310
ECAPINSURE,7428865,130420
INDOFARM,7430401,611784
ZUARI,7436801,238150
SGLTL,7443201,250664
QUADFUTURE,7446273,713072
DDEVPLSTIK,7449089,125155
CARERATING,7452929,57918
PCJEWELLER,7455745,55274700
INDUSTOWER,7458561,7620064
LAXMIDENTL,7467777,137377
STALLION,7476225,0
ONESOURCE,7481345,132299
ITCHOTELS,7488257,2760307
DENTA,7489537,421712
VMART,7496705,169437
SUPREME,7536385,112970
AGARWALEYE,7539713,270798
MOSCHIP,7541505,4152764
NEXT30ADD,7542785,38353
PROTEAN,7544833,223748
MCLOUD,7547393,4341115
NIBE,7548673,57774
ORCHASP,7549953,0
GROWWRAIL,7558913,383899
NIFTYIETF,7565569,493363
NIF100BEES,7571713,25506
NATCAPSUQ,7573249,0
REPCOHOME,7577089,194434
AJAXENGG,7583745,107719
HEXT,7594497,461125
BAJAJINDEF,7597569,37069
QPOWER,7606017,474964
GUJTHEM,7611137,175182
NIBL,7611649,37644
MSCIINDIA,7618049,33562
GROWWN200,7647233,84508
VIVIDHA,7648513,421552
NIFTY100EW,7665665,13792
JUSTDIAL,7670273,94161
AONETOTAL,7673601,470886
ATULAUTO,7685889,274682
MOCAPITAL,7696641,460310
ORIENTCEM,7702785,419197
ABFRL,7707649,4137918
SELECTIPO,7707905,16960
EQUAL200,7710977,32005
SAMMAANCAP,7712001,12967871
PRABHA,7714305,26888
CASHIETF,7715585,282355
AXISVALUE,7719681,29604
BHARATSE,7742465,180431
SBIBPB,7754241,12344
ESSENTIA,7762689,1630606
NIF100IETF,7780353,109261
SPECTRUM,7796481,3383
MID150,7800065,50639
AONELIQUID,7800833,24608
PILITA,7893761,82136
THOMASCOTT,7940353,27056
DBSTOCKBRO,7963393,9960
COMPUSOFT,7971329,26502
RHIM,7977729,680132
MCX,7982337,476918
SCHNEIDER,7995905,114722
NDL,8002049,1592116
NBCC,8042241,7207776
LYPSAGEMS,8055809,23363
JPOLYINVST,8065793,18425
SREEL,8150273,6950
EVIETF,193505537,89761
CIFL,193539841,240747
TINNARUBR,193541121,19492
WAAREERTL,193545729,406062
GROWWMOM50,193558017,208055
NPST,193618945,10652
OSWALPUMPS,193741313,288084
GROWWSLVR,193747713,170913
ABLBL,193751809,1262723
ENRIN,193758977,440319
MON50EQUAL,193766401,4261
PRIMO,193772801,82921
THELEELA,193795585,460946
RAJOOENG,193804545,672642
AONENIFTY,193816577,206673
MOMGF,193817345,661
BELRISE,193818113,5792587
EQUAL50,193828353,627
MONEXT50,193834753,4074
AEGISVOPAK,193878017,642839
MOPSE,193902337,809
MOTOUR,193905409,7270
SNXT30BEES,193908481,7587
SCODATUBES,193914369,282213
DIGITIDE,193923841,236945
BLUSPRING,193925121,233477
TRAVELFOOD,193931521,108593
ARISINFRA,193949185,638251
ATHERENERG,193957121,3139937
FISCHER,193960449,555545
LIQGRWBEES,193977601,17790
PICCADIL,193985025,119801
SAMBHV,193988353,1223054
HDBFS,193989633,1148709
BRIGHOTEL,193995265,203561
IGCL,193997057,228062
MOMIDMTM,194001153,29964
RMDRIP,194005505,42901
INDIQUBE,194008321,133403
CRIZAC,194009601,756803
EBGNG,194012673,284665
ANTHEM,194018561,447994
BORANA,194027265,95135
BELLACASA,194032129,9666
QUALITY30,194034177,7527
EUROBOND,194035969,9646
PASHUPATI,194036481,1097
SMARTWORKS,194039041,132187
CHEMBONDCH,194045185,23418
JSLL,194077441,249669
LOTUSDEV,194085121,1004119
MBEL,194086401,1028161
PROSTARM,194092289,470624
ALLTIME,194162689,230719
JSWCEMENT,194165761,2067984
SBILIQETF,194174977,10946
RAYMONDREL,194189057,243397
KALPATARU,194190849,80142
ELLEN,194192129,183308
GLOBECIVIL,194194433,251926
INTERNET,194200321,85086
MANUFGBEES,194218753,5388
EFCIL,194220801,427678
REGAAL,194222081,830641
LTGILTCASE,194228481,112696
MEIL,194239489,85142
SGFIN,194266369,70033
CPPLUS,194267649,288888
LAXMIINDIA,194268929,345171
SGMART,194275585,166148
CPEDU,194288897,26787
ELM250,194291713,344292
SML100CASE,194292481,247973
STLNETWORK,194293249,2587450
AHCL,194295809,0
VIKRAN,194297089,6583834
RNBDENIMS,194299137,77145
GCSL,194300417,0
URBANCO,194325505,8362108
SHRINGARMS,194327809,2167596
HILINFRA,194330369,329661
MWL,194347265,19670
TIGERLOGS,194349057,275847
BLUESTONE,194378497,1879460
PATELRMART,194416385,163630
SHREEJISPG,194418689,725676
VIKRAMSOLR,194419969,1784279
GEMAROMA,194422017,301376
