Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-11-03 09:40:00  IIFL         1771158    1338338   UV        61500.0    yes      5.78  long:loss
2025-11-03 09:40:00  MMTC         922495     898992    UV        6451.0     yes      17.58 NA:NEM
2025-11-03 09:41:00  SHRIRAMFIN   6340029    6255594   UV        70672.0    yes      4.21  long:loss
2025-11-03 09:43:00  SOUTHBANK    7152878    7088111   UV        15344.0    yes      16.06 NA:PNQ
2025-11-03 09:46:00  SOLARA       163907     130091    UV        1353.0     yes      14.3  ----
2025-11-03 09:46:00  MAHABANK     6667231    6507294   UV        19650.0    yes      17.42 NA:NEM
2025-11-03 09:46:00  PSPPROJECT   260566     259248    UV        12049.0    yes      14.14 long:loss
2025-11-03 09:47:00  UCOBANK      6789254    6614104   UV        11144.0    yes      16.76 long:loss
2025-11-03 09:47:00  MUFIN        5104495    317794    UV        35073.0    yes      13.63 long:loss
2025-11-03 09:49:00  MEDPLUS      470995     172970    UV        27445.0    yes      11.82 long:profit
2025-11-03 09:49:00  MAHLIFE      225476     222837    UV        3884.0     yes      15.81 long:loss
2025-11-03 09:50:00  EMCURE       160735     129860    UV        2911.0     yes      9.33  NA:NDH
2025-11-03 09:51:00  CENTRALBK    4680245    4661767   UV        1581.0     yes      17.84 NA:PNQ
2025-11-03 09:55:00  VAIBHAVGBL   848219     369287    UV        12514.0    yes      14.91 NA:PNQ
2025-11-03 09:55:00  PSB          1510970    1445866   UV        2112.0     yes      17.14 NA:NEM
2025-11-03 09:55:00  CHOLAHLDNG   292948     217511    UV        166094.0   yes      16.59 NA:SS
2025-11-03 09:56:00  SALZERELEC   173505     88597     UV        1749.0     yes      25.02 NA:NDH
2025-11-03 09:57:00  KARURVYSYA   1969209    1926256   UV        25457.0    yes      13.63 long:loss
2025-11-03 10:15:00  ROLEXRINGS   60212      29551     UV        1040.0     yes      18.88 NA:LV
2025-11-03 10:16:00  ATAM         53767      26301     UV        1057.0     yes      11.87 NA:LV
2025-11-03 10:28:00  CHENNPETRO   4083365    1271429   UV        41778.0    yes      21.76 NA:PNQ
2025-11-03 10:29:00  SCHAEFFLER   119112     59389     UV        18926.0    yes      13.46 long:profit
2025-11-03 10:38:00  TICL         375447     156728    UV        2888.0     yes      3.5   NA:LV
2025-11-03 10:40:00  ORCHPHARMA   146940     73229     UV        4346.0     yes      11.34 long:loss
2025-11-03 10:40:00  BLSE         811272     73469     UV        10361.0    yes      6.91  long:loss
2025-11-03 10:41:00  ASHOKA       1498388    731259    UV        10897.0    yes      15.92 long:loss
2025-11-03 10:42:00  GRAVITA      581394     289052    UV        29139.0    yes      12.4  long:profit
2025-11-03 10:44:00  LANCORHOL    2405102    223163    UV        2021.0     yes      0.0   NA:CTUC
2025-11-03 10:55:00  BBOX         1762078    124047    UV        87011.0    yes      1.02  NA:CTUC
2025-11-03 11:15:00  RAJRATAN     297345     98951     UV        2533.0     yes      15.95 long:profit:MB
2025-11-03 11:20:00  KMEW         254621     84735     UV        12360.0    yes      6.08  long:loss
2025-11-03 11:25:00  AGIIL        382242     104124    UV        4782.0     yes      15.48 ----
2025-11-03 12:49:00  BHARATWIRE   2269804    184079    UV        387803.0   yes      13.31 NA:SS
