instrument_token,tradingsymbol,avg_volume
2085377,DEVIT,154059
2087169,MEGASTAR,9592
2088705,FIBERWEB,82128
2089729,SPENCERS,103116
2090753,MANYAVAR,165953
2092801,SAGARDEEP,11102
2094593,MOMOMENTUM,85659
2116097,SOFTTECH,8480
2125825,PRITI,42809
2127617,BLUESTARCO,436486
2135553,GSEC5IETF,10690
2153729,MIDCAPETF,2304906
2156545,VIPULLTD,339630
2168065,MITCON,22539
2170113,XELPMOC,23942
2170625,TVSMOTOR,958639
2177537,MID150BEES,595312
2178561,GATEWAY,2019605
2183425,GMRP&UI,1890173
2187777,CHALET,569898
2197761,NLCINDIA,1946336
2199297,AKSHOPTFBR,195497
2200577,MSUMI,9658668
2209793,LOWVOL1,152414
2214913,VETO,69813
2215425,MOLOWVOL,78078
2216193,DIL,298866
2223873,MUKTAARTS,13811
2226177,VRLLOG,240801
2234113,SHAILY,227534
2236417,PNBGILTS,1562106
2252033,OBCL,58358
2254337,SONAMLTD,78856
2259201,PRIVISCL,122291
2259713,AVROIND,26042
2259969,GAEL,412803
2261249,BCG,19334132
2263041,USHAMART,608997
2269697,CHOICEIN,628019
2273793,TNIDETF,52689
2275841,VERANDA,667321
2287873,E2E,94810
2289665,RITCO,49663
2291969,ELDEHSG,3609
2292225,TTML,772913
2294273,HARDWYN,463638
2295809,HARIOMPIPE,500958
2307585,ANUP,28633
2313985,UFO,165328
2316545,ROTO,244706
2326273,PIXTRANS,29202
2332417,ARVINDFASN,486814
2333697,INDOAMIN,179654
2333953,TIPSMUSIC,201078
2344449,BALAJITELE,113139
2347009,UTISXN50,4015
2360065,TPLPLASTEH,30438
2368769,NILAINFRA,525406
2370561,ARROWGREEN,55456
2377729,KRITIKA,296484
2382081,STARTECK,12486
2383105,STLTECH,3188258
2393089,IOB,5805869
2394625,TAJGVK,530620
2395137,MSTCLTD,263869
2396673,CAMPUS,515653
2400769,TRU,453921
2402305,CREATIVEYE,14836
2402561,PNCINFRA,453489
2408449,RAINBOW,150593
2413569,SKIPPER,1064038
2415617,AXISCADES,110277
2426881,LICI,958189
2445313,RVNL,5681235
2445569,PRUDENT,26017
2446849,AKSHAR,2575133
2451457,MAHESHWARI,14667
2452737,METROPOLIS,61355
2455041,POLYCAB,239933
2455553,VENUSPIPES,61689
2457345,DELHIVERY,2996453
2461953,SPLPETRO,99973
2468097,KHANDSE,51200
2470913,RELCHEMQ,7600
2474753,MEDICO,179304
2475009,HIKAL,440728
2478849,KPITTECH,903859
2479361,TRIDENT,10109503
2493697,PARADEEP,15081689
2496001,ETHOSLTD,45874
2497537,EMUDHRA,86339
2511361,AETHER,95906
2513665,HAVELLS,980549
2520833,NV20BEES,72716
2524673,WEWIN,9441
2525953,NEXTMEDIA,9863
2527745,GOLDTECH,47930
2529025,CHEVIOT,3487
2531585,SMARTLINK,5414
2533633,AIRAN,122050
2534913,AXITA,1899939
2538753,NEOGEN,43242
2539777,ALANKIT,271839
2542337,VIKASLIFE,3735216
2544385,ONEPOINT,418933
2578945,EMAMIPAP,108123
2585345,GODREJCP,1309324
2600705,ORICONENT,563240
2605057,SETFNIF50,441047
2606337,BALKRISHNA,87690
2608129,SHYAMCENT,161591
